Source.Name;default;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98
50;1;73.58050000000003;27.051500000000033;92.79900000000004;43.2355;87.74150000000003;60.43100000000004;37.16650000000004;66.50000000000006;60.43100000000004;70.54600000000005;11.879000000000019;43.2355;88.75300000000004;94.82200000000006;68.52300000000002;55.373500000000035;26.04000000000002;33.12050000000005;68.52300000000002;37.16650000000004;51.32750000000004;100.89100000000002;96.84500000000003;51.32750000000004;68.52300000000002;69.53450000000004;87.74150000000003;80.66100000000006;45.258500000000026;38.178000000000054;59.41950000000003;37.16650000000004;89.76450000000006;33.12050000000005;38.178000000000054;31.097500000000025;7.833000000000027;35.14350000000002;-7.339499999999987;118.08650000000006;82.68400000000003;-3.293499999999966;17.948000000000036;91.78750000000002;7.833000000000027;37.16650000000004;119.09800000000001;32.10900000000004;78.63800000000003;139.32800000000003;85.7185;44.247000000000014;95.83350000000002;17.948000000000036;45.258500000000026;55.373500000000035;40.20100000000002;109.99450000000002;54.36200000000002;65.48850000000004;16.936500000000024;87.74150000000003;98.86800000000005;66.50000000000006;81.67250000000001;41.212500000000034;64.47700000000003;148.43150000000003;68.52300000000002;58.408000000000015;86.73000000000002;146.40850000000006;125.16700000000003;80.66100000000006;74.59200000000004;51.32750000000004;72.56900000000002;56.38500000000005;39.18950000000001;44.247000000000014;34.132000000000005;57.3965;26.04000000000002;16.936500000000024;60.43100000000004;111.00600000000003;73.58050000000003;81.67250000000001;15.92500000000004;29.0745;56.38500000000005;30.086000000000013;73.58050000000003;66.50000000000006;26.04000000000002;2.7755000000000223;-82.19049999999999;;
100;1;85.7185;52.339000000000055;48.293000000000006;60.43100000000004;100.89100000000002;53.35050000000001;121.12100000000004;152.47750000000002;28.063000000000045;89.76450000000006;59.41950000000003;121.12100000000004;94.82200000000006;100.89100000000002;83.69550000000004;78.63800000000003;132.24750000000006;61.44250000000005;29.0745;92.79900000000004;121.12100000000004;108.98300000000006;81.67250000000001;148.43150000000003;125.16700000000003;27.051500000000033;155.51200000000006;111.00600000000003;186.86850000000004;104.93700000000001;73.58050000000003;-278.4215;113.02900000000005;12.890500000000031;143.37400000000002;96.84500000000003;39.18950000000001;92.79900000000004;126.17850000000004;104.93700000000001;92.79900000000004;72.56900000000002;53.35050000000001;35.14350000000002;58.408000000000015;134.27050000000003;89.76450000000006;83.69550000000004;97.85650000000004;14.913500000000028;141.35100000000006;99.87950000000001;73.58050000000003;61.44250000000005;72.56900000000002;131.23600000000005;106.96000000000004;150.45450000000005;193.949;69.53450000000004;113.02900000000005;109.99450000000002;49.30450000000002;94.82200000000006;84.70700000000005;132.24750000000006;161.58100000000002;117.07500000000005;102.91400000000004;94.82200000000006;114.04050000000001;126.17850000000004;106.96000000000004;75.60350000000005;79.64950000000005;86.73000000000002;73.58050000000003;97.85650000000004;36.15500000000003;-1.27049999999997;95.83350000000002;94.82200000000006;211.14450000000005;54.36200000000002;102.91400000000004;79.64950000000005;93.81050000000005;91.78750000000002;54.36200000000002;87.74150000000003;130.22450000000003;54.36200000000002;66.50000000000006;130.22450000000003;80.66100000000006;149.44300000000004;99.87950000000001;78.63800000000003;56.38500000000005
150;1;58.408000000000015;166.63850000000002;129.21300000000002;56.38500000000005;135.28200000000004;151.46600000000007;159.55800000000005;144.38550000000004;178.77650000000006;153.48900000000003;101.90250000000003;148.43150000000003;140.33950000000004;128.2015;178.77650000000006;192.93750000000006;168.66150000000005;92.79900000000004;41.212500000000034;141.35100000000006;153.48900000000003;154.50050000000005;159.55800000000005;86.73000000000002;129.21300000000002;92.79900000000004;106.96000000000004;164.61550000000005;159.55800000000005;156.5235;140.33950000000004;75.60350000000005;153.48900000000003;163.60400000000004;183.83400000000006;181.81100000000004;112.01750000000004;129.21300000000002;97.85650000000004;84.70700000000005;129.21300000000002;112.01750000000004;141.35100000000006;126.17850000000004;125.16700000000003;177.76500000000004;147.42000000000002;130.22450000000003;167.65000000000003;99.87950000000001;138.31650000000002;107.97150000000005;88.75300000000004;125.16700000000003;137.30500000000006;125.16700000000003;130.22450000000003;152.47750000000002;141.35100000000006;129.21300000000002;143.37400000000002;187.88000000000005;189.90300000000002;159.55800000000005;181.81100000000004;150.45450000000005;159.55800000000005;170.6845;169.67300000000006;170.6845;102.91400000000004;164.61550000000005;76.61500000000001;188.89150000000006;129.21300000000002;73.58050000000003;127.19000000000005;116.06350000000003;188.89150000000006;135.28200000000004;119.09800000000001;140.33950000000004;91.78750000000002;81.67250000000001;138.31650000000002;95.83350000000002;86.73000000000002;100.89100000000002;69.53450000000004;97.85650000000004;151.46600000000007;172.70750000000004;149.44300000000004;62.45400000000001;106.96000000000004;129.21300000000002;203.05250000000007;118.08650000000006;196.98350000000005
200;1;217.21350000000007;207.09850000000006;177.76500000000004;205.07550000000003;178.77650000000006;185.85700000000003;179.788;136.29350000000005;90.77600000000001;236.43200000000002;135.28200000000004;199.00650000000002;133.25900000000001;182.82250000000005;160.56950000000006;92.79900000000004;191.92600000000004;164.61550000000005;227.32850000000002;210.13300000000004;159.55800000000005;98.86800000000005;177.76500000000004;109.99450000000002;136.29350000000005;124.15550000000002;186.86850000000004;173.71900000000005;174.73050000000006;356.8005;156.5235;283.9725;178.77650000000006;180.79950000000002;226.31700000000006;156.5235;60.43100000000004;171.69600000000003;141.35100000000006;220.24800000000005;152.47750000000002;212.15600000000006;144.38550000000004;254.63900000000007;85.7185;107.97150000000005;142.3625;98.86800000000005;189.90300000000002;144.38550000000004;230.36300000000006;120.10950000000003;108.98300000000006;192.93750000000006;163.60400000000004;268.80000000000007;156.5235;166.63850000000002;150.45450000000005;157.53500000000003;241.48950000000002;174.73050000000006;180.79950000000002;189.90300000000002;205.07550000000003;-126.69649999999999;146.40850000000006;137.30500000000006;188.89150000000006;184.84550000000002;112.01750000000004;151.46600000000007;199.00650000000002;225.30550000000005;124.15550000000002;56.38500000000005;184.84550000000002;151.46600000000007;182.82250000000005;215.19050000000004;133.25900000000001;167.65000000000003;184.84550000000002;145.39700000000005;160.56950000000006;187.88000000000005;144.38550000000004;217.21350000000007;121.12100000000004;174.73050000000006;160.56950000000006;151.46600000000007;215.19050000000004;125.16700000000003;160.56950000000006;183.83400000000006;194.96050000000002;180.79950000000002;109.99450000000002
250;1;195.97200000000004;368.93850000000003;253.62750000000005;240.47800000000007;184.84550000000002;237.44350000000003;207.09850000000006;244.52400000000006;142.3625;369.9500000000001;279.9265000000001;260.708;341.6280000000001;264.754;236.43200000000002;330.5015;251.60450000000003;295.099;232.38600000000002;239.46650000000005;216.20200000000006;263.74250000000006;204.06400000000002;230.36300000000006;237.44350000000003;267.78850000000006;186.86850000000004;151.46600000000007;239.46650000000005;242.50100000000003;273.8575000000001;202.04100000000005;241.48950000000002;232.38600000000002;248.57000000000005;221.25950000000006;331.5130000000001;240.47800000000007;229.35150000000004;202.04100000000005;250.59300000000002;256.66200000000003;296.11050000000006;171.69600000000003;263.74250000000006;190.91450000000003;214.17900000000003;329.49000000000007;252.61600000000004;268.80000000000007;194.96050000000002;384.11100000000005;276.892;298.1335000000001;394.22600000000006;222.27100000000002;327.46700000000004;288.0185000000001;242.50100000000003;341.6280000000001;242.50100000000003;271.83450000000005;404.34100000000007;300.1565;273.8575000000001;204.06400000000002;338.5935;165.627;189.90300000000002;217.21350000000007;263.74250000000006;268.80000000000007;210.13300000000004;-552.538;245.53550000000007;245.53550000000007;246.54700000000003;212.15600000000006;231.37450000000007;302.1795;247.55850000000004;223.28250000000003;211.14450000000005;223.28250000000003;236.43200000000002;291.05300000000005;225.30550000000005;275.88050000000004;162.59250000000003;167.65000000000003;203.05250000000007;270.82300000000004;285.99550000000005;259.69650000000007;285.99550000000005;199.00650000000002;;;
300;1;231.37450000000007;244.52400000000006;303.1910000000001;226.31700000000006;202.04100000000005;247.55850000000004;293.0760000000001;318.3635000000001;327.46700000000004;251.60450000000003;327.46700000000004;263.74250000000006;277.90350000000007;270.82300000000004;290.0415000000001;342.63950000000006;311.2830000000001;205.07550000000003;288.0185000000001;243.51250000000005;312.2945;275.88050000000004;300.1565;262.73100000000005;272.84600000000006;248.57000000000005;281.9495;293.0760000000001;298.1335000000001;321.3980000000001;315.329;324.43250000000006;305.214;338.5935;285.99550000000005;220.24800000000005;276.892;293.0760000000001;299.14500000000004;346.6855000000001;359.8350000000001;326.4555000000001;293.0760000000001;238.45500000000004;272.84600000000006;235.42050000000006;377.0305;269.8115;207.09850000000006;316.3405000000001;297.122;165.627;335.559;277.90350000000007;304.20250000000004;273.8575000000001;276.892;317.35200000000003;253.62750000000005;327.46700000000004;329.49000000000007;265.76550000000003;339.6050000000001;292.0645;336.5705000000001;339.6050000000001;311.2830000000001;251.60450000000003;295.099;321.3980000000001;263.74250000000006;275.88050000000004;316.3405000000001;309.26000000000005;242.50100000000003;267.78850000000006;318.3635000000001;269.8115;318.3635000000001;305.214;319.37500000000006;294.08750000000003;230.36300000000006;263.74250000000006;312.2945;382.088;338.5935;260.708;221.25950000000006;344.6625000000001;495.37600000000003;332.52450000000005;;;;;;;
350;1;304.20250000000004;321.3980000000001;326.4555000000001;309.26000000000005;324.43250000000006;240.47800000000007;332.52450000000005;269.8115;377.0305;298.1335000000001;419.5135000000001;322.40950000000004;348.7085;346.6855000000001;295.099;369.9500000000001;316.3405000000001;387.1455;338.5935;331.5130000000001;327.46700000000004;247.55850000000004;314.31750000000005;383.0995000000001;383.0995000000001;382.088;433.6745;278.915;325.444;375.0075000000001;363.88100000000003;392.20300000000003;357.81200000000007;339.6050000000001;352.75450000000006;307.237;356.8005;363.88100000000003;332.52450000000005;366.9155;332.52450000000005;300.1565;301.16800000000006;280.93800000000005;354.7775000000001;339.6050000000001;390.18;303.1910000000001;450.87000000000006;330.5015;186.86850000000004;384.11100000000005;335.559;360.84650000000005;233.39750000000004;354.7775000000001;309.26000000000005;247.55850000000004;324.43250000000006;336.5705000000001;349.7200000000001;211.14450000000005;263.74250000000006;313.3060000000001;292.0645;333.536;314.31750000000005;359.8350000000001;384.11100000000005;255.65050000000002;383.0995000000001;232.38600000000002;380.065;403.3295000000001;283.9725;388.1570000000001;360.84650000000005;319.37500000000006;308.2485000000001;325.444;299.14500000000004;375.0075000000001;379.05350000000004;287.007;316.3405000000001;338.5935;298.1335000000001;362.8695000000001;328.4785;314.31750000000005;375.0075000000001;291.05300000000005;;;;;;;
400;1;481.2150000000001;380.065;451.8815;456.939;450.87000000000006;512.5715;426.5940000000001;433.6745;472.11150000000004;443.78950000000003;399.28350000000006;458.96200000000005;389.16850000000005;357.81200000000007;446.824;448.84700000000004;489.3070000000001;434.6860000000001;434.6860000000001;449.8585000000001;340.61650000000003;487.28400000000005;464.01950000000005;470.0885;477.16900000000004;-233.91549999999998;434.6860000000001;467.05400000000003;470.0885;426.5940000000001;453.90450000000004;521.675;477.16900000000004;419.5135000000001;437.7205000000001;507.51400000000007;431.6515;464.01950000000005;455.92750000000007;547.9740000000002;398.2720000000001;468.0655000000001;457.9505000000001;440.75500000000005;416.4790000000001;437.7205000000001;282.96100000000007;743.1935000000001;505.49100000000004;571.2385000000002;477.16900000000004;432.66300000000007;373.99600000000004;429.6285000000001;535.836;417.49050000000005;459.9735;465.031;459.9735;479.19200000000006;487.28400000000005;470.0885;464.01950000000005;435.69750000000005;488.2955;455.92750000000007;441.7665;486.2725000000001;436.709;465.031;435.69750000000005;453.90450000000004;582.365;442.7780000000001;510.54850000000005;475.146;448.84700000000004;470.0885;460.98500000000007;428.617;;;;;;;;;;;;;;;;;;;
450;1;566.181;388.1570000000001;436.709;334.54750000000007;409.39850000000007;426.5940000000001;718.9175;419.5135000000001;420.52500000000003;455.92750000000007;495.37600000000003;382.088;445.81250000000006;442.7780000000001;351.743;372.9845000000001;401.3065000000001;545.951;433.6745;434.6860000000001;666.3195000000001;267.78850000000006;307.237;452.8930000000001;443.78950000000003;436.709;439.7435000000001;396.2490000000001;395.2375;371.973;479.19200000000006;438.732;416.4790000000001;355.78900000000004;417.49050000000005;390.18;467.05400000000003;470.0885;252.61600000000004;395.2375;464.01950000000005;435.69750000000005;411.4215000000001;421.5365000000001;424.5710000000001;377.0305;458.96200000000005;430.64000000000004;422.54800000000006;514.5945000000002;390.18;442.7780000000001;432.66300000000007;315.329;402.31800000000004;415.46750000000003;364.8925000000001;367.9270000000001;348.7085;334.54750000000007;360.84650000000005;410.41;409.39850000000007;428.617;354.7775000000001;476.1575000000001;417.49050000000005;416.4790000000001;435.69750000000005;482.22650000000004;382.088;459.9735;466.0425000000001;475.146;159.55800000000005;447.8355000000001;422.54800000000006;423.5595;368.93850000000003;431.6515;359.8350000000001;449.8585000000001;437.7205000000001;470.0885;382.088;494.3645000000001;432.66300000000007;402.31800000000004;442.7780000000001;;;;;;;;;;
500;1;425.58250000000004;414.4560000000001;484.24950000000007;469.07700000000006;363.88100000000003;359.8350000000001;390.18;502.45650000000006;455.92750000000007;399.28350000000006;539.8820000000001;497.39900000000006;555.0545;557.0775000000001;461.9965;509.5370000000001;615.7445;517.6290000000001;322.40950000000004;627.8825000000002;449.8585000000001;497.39900000000006;503.468;506.5025000000001;466.0425000000001;489.3070000000001;390.18;512.5715;449.8585000000001;-2327807.6920000003;484.24950000000007;513.5830000000001;463.0080000000001;454.9160000000001;489.3070000000001;536.8475000000001;527.7440000000001;335.559;504.4795000000001;499.4220000000001;466.0425000000001;498.4105;468.0655000000001;442.7780000000001;446.824;540.8935000000001;473.1230000000001;519.652;456.939;490.31850000000003;520.6635000000001;393.2145000000001;493.353;475.146;549.9970000000001;508.5255;482.22650000000004;500.43350000000004;536.8475000000001;470.0885;569.2155;597.5375000000001;509.5370000000001;479.19200000000006;480.2035;486.2725000000001;451.8815;453.90450000000004;402.31800000000004;408.387;445.81250000000006;416.4790000000001;321.3980000000001;216.20200000000006;464.01950000000005;419.5135000000001;452.8930000000001;489.3070000000001;502.45650000000006;453.90450000000004;470.0885;440.75500000000005;478.1805000000001;433.6745;464.01950000000005;472.11150000000004;413.4445;523.6980000000001;416.4790000000001;481.2150000000001;429.6285000000001;445.81250000000006;512.5715;450.87000000000006;524.7095000000002;507.51400000000007;;;
