Source.Name;default;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98
50;1;109.05239126123435;112.62102492532209;114.1859683433024;104.38942952113904;120.94409578467344;107.55780462860899;121.5017201781105;102.9587497887163;105.35424361240754;113.92364240658203;114.71243373975977;113.14027499953865;113.40079711762655;94.99539535941216;119.28653076694064;124.04301747004386;86.8453039596765;81.24168037032425;116.84268069149917;110.31373257227528;87.04527804082183;122.62469376153705;113.92364240658203;113.40079711762655;141.4191846239604;106.81821031140409;105.11220730055531;126.92906924156685;104.38942952113904;124.32864475568945;99.92585095768132;108.80185898389541;106.32797494975146;109.30350042597735;106.32797494975146;108.55190226864423;100.1559449215093;107.55780462860899;101.5476778317758;106.81821031140409;122.06191555248;101.31438656056716;100.1559449215093;110.31373257227528;107.3107059503725;101.08163124269969;103.19582744802683;114.44889832406156;114.44889832406156;115.77265768219846;107.06417494602071;124.04301747004386;131.99029808444726;85.06608461890904;102.48622717491455;89.48118865153393;131.3845370318381;98.32992642291843;110.8223446530412;108.80185898389541;113.92364240658203;105.5968372484542;114.71243373975977;109.30350042597735;87.64796734623927;108.55190226864423;107.3107059503725;99.01074905214578;109.80745473420666;102.01587317350378;87.44660867258324;105.83998949201612;96.75949053895263;119.01248701729637;94.55942005273376;97.87864749865372;90.51616201160321;110.06030254361242;113.40079711762655;131.3845370318381;95.21413622430518;88.05207673504692;105.5968372484542;116.84268069149917;116.0392412484498;113.40079711762655;103.43345101350522;110.8223446530412;124.04301747004386;116.0392412484498;104.38942952113904;102.72221678143227;120.38903057281587;96.53719944346616;88.25482958793816;125.47774604840528;96.09414812530488;123.75804637224999;94.77715702038213
100;1;140.1240946738786;161.2294362682334;165.74134666021052;152.9220662226185;182.5507872345648;173.14483149362397;167.27320278297256;168.43137899504623;157.2014997784399;168.43137899504623;164.2235189839767;176.76628220841215;166.12299047968008;173.14483149362397;177.99018717193525;158.2899409304989;196.0419016920219;166.12299047968008;181.71298204255672;159.38591829654547;183.3924552080421;177.99018717193525;169.2079480779645;178.40003574761784;157.2014997784399;175.5507931209749;183.8147433001679;182.1314029007877;153.9808771765164;151.8705359171794;188.9586901481545;174.3436620399584;158.2899409304989;186.79811234513346;155.7618783929666;182.1314029007877;180.87902190402875;182.97113726243202;144.37707024389624;197.39926834329586;165.3605796128513;173.9431324029159;194.69386863271845;183.8147433001679;217.92008663711292;157.56347934485905;153.9808771765164;211.01483108851718;180.04888917235328;187.2282424635478;184.66223886473054;192.0255470109072;189.39379531462785;163.46982562039878;173.54352292544948;164.60166778205706;192.9108992761969;194.69386863271845;156.1205430194796;185.08745082042088;183.8147433001679;173.9431324029159;169.5975742568894;188.52458457359268;183.8147433001679;157.92629242245135;143.05489254083338;142.3983512378432;178.40003574761784;190.2670136354386;191.58439577118196;171.95424440542277;180.87902190402875;173.14483149362397;176.76628220841215;183.8147433001679;162.71959128443044;166.88891651518585;170.7718440912787;186.79811234513346;185.08745082042088;153.62712812636244;194.24658730556595;187.2282424635478;185.51364188915767;171.55920411377264;187.65936301980136;169.2079480779645;146.38328485555763;186.79811234513346;182.1314029007877;178.40003574761784;182.5507872345648;169.5975742568894;185.08745082042088;151.52163507434625;193.35510498527697;187.65936301980136;153.62712812636244
150;1;251.8990521439864;283.2495809650177;299.3245453023246;326.6627916155961;278.08544442808454;307.7009656247064;237.27704401627443;252.47908674801366;263.15110752834715;269.2737231785496;312.6950456395597;191.58439577118196;306.994066649216;270.5152355945282;276.1732594861681;300.7046099258363;293.86733397819717;254.81261210362217;296.5833881427452;287.84680758938356;287.18552070336415;276.1732594861681;246.73833941617247;260.1422041467649;273.01545915549303;304.18267347431294;275.5387909079098;291.8466288236721;298.63688995492015;296.5833881427452;312.6950456395597;331.96462781845474;288.50961718568635;287.84680758938356;232.95106744040345;251.32035008653247;309.1196505402723;256.57689891684043;329.6819561602209;281.9496250833612;262.5465554823915;214.43966580958246;312.6950456395597;257.75987140260105;291.17615292023476;337.3525144312268;333.4951826837323;246.73833941617247;306.28879167305405;270.5152355945282;293.86733397819717;268.6551052985083;287.84680758938356;273.01545915549303;255.9874501752332;263.15110752834715;274.274223205303;331.96462781845474;274.9057799304979;297.95081439736;260.74121982026094;310.54487643917764;242.23986683485333;221.45699575047882;283.2495809650177;289.839818542273;249.01880620114244;322.9276875244099;268.6551052985083;237.27704401627443;274.9057799304979;317.7701810880355;297.2663150003028;280.6556352662915;299.3245453023246;294.5440067217022;333.4951826837323;273.6441173913884;340.47047820534823;291.8466288236721;234.56398798235475;312.6950456395597;273.6441173913884;249.59220861540658;310.54487643917764;256.57689891684043;271.76247212298546;288.50961718568635;272.3882451720131;291.17615292023476;268.0379086046006;283.2495809650177;315.58511398926566;293.86733397819717;271.76247212298546;290.5072173393252;280.01086907053855;261.34161481541787;264.97312891521335
200;1;264.97312891521335;313.4150719573846;288.50961718568635;325.9123305559271;349.99834311843045;308.4094923390225;257.75987140260105;230.28747517530482;289.839818542273;323.67127600466995;274.274223205303;269.2737231785496;291.8466288236721;300.0137840772717;290.5072173393252;279.367584132936;310.54487643917764;304.88309880366177;332.729025182434;284.5555304183761;279.367584132936;306.994066649216;295.2222376036896;280.6556352662915;287.18552070336415;353.23318533291837;274.274223205303;287.84680758938356;274.9057799304979;271.76247212298546;267.4221298318544;275.5387909079098;306.28879167305405;231.34923774277578;276.80918902161307;246.73833941617247;284.5555304183761;219.93420215936857;269.8937655172144;273.01545915549303;221.96693304379488;209.0823974672399;245.04170499434795;304.88309880366177;272.3882451720131;244.4787567115525;275.5387909079098;299.3245453023246;222.99033295098835;197.85380918207326;271.1381366980691;285.8675010773755;332.729025182434;328.9245590016707;212.4758682044176;243.9171017219502;179.63525259166943;303.4838572720161;251.32035008653247;229.23058549940114;300.0137840772717;207.16766070490561;231.34923774277578;231.34923774277578;294.5440067217022;293.86733397819717;350.80426576336697;214.9334446689586;281.9496250833612;308.4094923390225;276.1732594861681;325.16359357324677;207.64469470333262;337.3525144312268;276.80918902161307;304.18267347431294;280.6556352662915;267.4221298318544;256.57689891684043;326.6627916155961;296.5833881427452;245.04170499434795;300.7046099258363;261.94339230832657;274.9057799304979;212.96512513107268;253.64316587639095;265.5832685032748;354.0465566776694;229.23058549940114;257.75987140260105;338.90791066626997;291.8466288236721;225.0513099716953;297.2663150003028;238.9199170137345;334.2631043753249;278.725777050505;
250;1;298.63688995492015;311.97667347925545;217.4194463948251;255.39935560783434;233.48747152374744;214.9334446689586;278.08544442808454;228.70396100307693;205.7431241490039;247.30649072036954;232.95106744040345;261.34161481541787;247.87595027647916;221.45699575047882;248.44672109694383;261.94339230832657;249.59220861540658;224.53428676337103;228.17854635123973;218.42187967716725;247.30649072036954;234.56398798235475;197.85380918207326;314.13675624167104;219.93420215936857;253.64316587639095;227.65433876444487;245.60594954833422;261.34161481541787;280.6556352662915;290.5072173393252;212.4758682044176;268.0379086046006;285.21076136507946;267.4221298318544;238.3710326635721;260.74121982026094;263.15110752834715;266.8077657227987;259.54456462613547;192.9108992761969;250.7429775143165;304.18267347431294;269.2737231785496;249.59220861540658;232.95106744040345;248.44672109694383;217.4194463948251;247.30649072036954;259.54456462613547;255.9874501752332;244.4787567115525;287.18552070336415;215.92441600108754;221.45699575047882;274.9057799304979;233.48747152374744;287.84680758938356;250.7429775143165;261.34161481541787;240.0214802850993;273.6441173913884;287.18552070336415;266.8077657227987;288.50961718568635;268.0379086046006;266.1948130274459;237.27704401627443;286.52575302941904;264.36439103562185;345.2015400495941;325.9123305559271;308.4094923390225;270.5152355945282;287.18552070336415;306.994066649216;213.45550864373638;273.6441173913884;291.17615292023476;268.6551052985083;232.41589566874947;246.17149335836635;234.56398798235475;190.7051314091029;255.39935560783434;226.60953370011526;285.8675010773755;304.88309880366177;271.1381366980691;270.5152355945282;295.9020302120025;257.75987140260105;271.76247212298546;260.1422041467649;285.21076136507946;252.47908674801366;234.56398798235475;260.1422041467649;
300;1;434.47066173409036;396.28292789392685;482.95738527938295;452.8352716120527;364.79239849526294;399.94555307269343;429.50286868328885;443.5579332103361;458.07293608299915;446.6290661734999;461.2445688917187;595.3970063025292;392.65384433875624;387.27243839056536;380.2117827594916;425.5695632393202;420.703546485842;434.47066173409036;313.4150719573846;396.28292789392685;350.80426576336697;431.4831329952847;416.85082355814023;434.47066173409036;439.495914163152;404.57147500272475;435.47109431252;411.13779277098024;399.94555307269343;352.4216825925416;376.72987568964214;356.49792541509163;353.23318533291837;411.13779277098024;464.4381616414893;375.0008979590133;394.46421267761235;424.5918780128764;352.4216825925416;379.3383005487472;342.82784807816876;378.46682503849723;394.46421267761235;401.78954053643093;367.31816993535824;406.43679072472565;381.9647857759958;444.57929056743217;406.43679072472565;403.64202988183786;446.6290661734999;412.0844979880139;422.64324067598795;524.6484506693864;432.4766863495398;399.0267353460573;395.3725245249812;402.7147200282304;414.93771329682374;362.2839948901666;388.1641901202389;367.31816993535824;395.3725245249812;399.0267353460573;407.3726711933644;396.28292789392685;401.78954053643093;392.65384433875624;385.4950762409936;350.80426576336697;416.85082355814023;391.75177827041654;379.3383005487472;423.6164388784574;390.8517845698973;398.11002847178173;439.495914163152;390.8517845698973;415.89316838956665;362.2839948901666;430.4918621878093;414.93771329682374;399.94555307269343;422.64324067598795;466.5794984838883;405.50306030765785;383.7258711816188;399.94555307269343;454.9231122132933;448.6882924672728;524.6484506693864;406.43679072472565;372.422298162979;420.703546485842;438.4862351365575;400.866486512238;465.5075987945472;345.2015400495941;410.1932624738291
350;1;358.1415934100561;407.3726711933644;366.4743089566345;326.6627916155961;348.39204805117305;399.94555307269343;386.382735332994;354.0465566776694;331.20198654813083;322.18580733237013;343.61725960400435;331.96462781845474;338.90791066626997;408.3107066643835;351.6120441636875;323.67127600466995;338.90791066626997;295.9020302120025;377.59735161863443;425.5695632393202;331.96462781845474;406.43679072472565;442.5389222757411;382.8443158551454;402.7147200282304;408.3107066643835;349.99834311843045;360.62131560787793;410.1932624738291;354.8618009295309;388.1641901202389;375.0008979590133;364.79239849526294;434.47066173409036;382.8443158551454;314.13675624167104;393.55798754684844;395.3725245249812;398.11002847178173;383.7258711816188;331.96462781845474;402.7147200282304;365.6323866278597;414.93771329682374;360.62131560787793;415.89316838956665;356.49792541509163;366.4743089566345;376.72987568964214;178.40003574761784;317.7701810880355;435.47109431252;338.90791066626997;389.05799523938344;423.6164388784574;359.79283969449995;386.382735332994;366.4743089566345;317.7701810880355;372.422298162979;347.59166713154747;416.85082355814023;324.4165767067347;327.41498072219457;438.4862351365575;448.6882924672728;354.0465566776694;361.4516992088564;431.4831329952847;364.79239849526294;390.8517845698973;363.11820705465465;349.99834311843045;334.2631043753249;363.11820705465465;368.16397402805757;386.382735332994;344.4084888659446;429.50286868328885;415.89316838956665;375.8643926625708;355.6789224011468;409.250902099993;360.62131560787793;321.44563150400245;299.3245453023246;354.0465566776694;366.4743089566345;366.4743089566345;385.4950762409936;389.05799523938344;381.9647857759958;400.866486512238;317.7701810880355;400.866486512238;385.4950762409936;402.7147200282304;334.2631043753249;397.1954276004851
400;1;452.8352716120527;457.02057900456253;434.47066173409036;624.8604973139362;436.473830534054;422.64324067598795;543.0646754722676;413.9844532255518;487.42109480377866;465.5075987945472;489.6683966714307;455.9706395660546;376.72987568964214;350.80426576336697;417.8106838685425;412.0844979880139;367.31816993535824;497.6158632929841;403.64202988183786;375.0008979590133;471.97613389477726;423.6164388784574;448.6882924672728;388.1641901202389;352.4216825925416;426.54949972974595;369.86142946290823;380.2117827594916;425.5695632393202;443.5579332103361;403.64202988183786;413.0333831330028;316.3117951143896;437.47887570316936;440.50791812415736;327.41498072219457;494.1941323836063;389.95385847623;373.27985526137724;419.73704023717846;375.0008979590133;377.59735161863443;460.184925440363;367.31816993535824;379.3383005487472;430.4918621878093;405.50306030765785;480.74088317037916;386.382735332994;441.52225237307687;398.11002847178173;445.6029997500121;396.28292789392685;399.0267353460573;430.4918621878093;412.0844979880139;382.8443158551454;357.3188143038935;354.8618009295309;349.99834311843045;357.3188143038935;401.78954053643093;430.4918621878093;355.6789224011468;424.5918780128764;354.8618009295309;362.2839948901666;378.46682503849723;370.71308978460263;414.93771329682374;410.1932624738291;400.866486512238;423.6164388784574;378.46682503849723;349.1942719655453;452.8352716120527;422.64324067598795;250.7429775143165;397.1954276004851;369.0117257090382;410.1932624738291;300.0137840772717;375.0008979590133;404.57147500272475;335.032794319519;358.1415934100561;356.49792541509163;353.23318533291837;387.27243839056536;458.07293608299915;479.63644972442125;431.4831329952847;373.27985526137724;422.64324067598795;331.96462781845474;368.16397402805757;409.250902099993;306.994066649216;334.2631043753249
450;1;554.423270125078;585.8878684650645;468.7307081658843;609.249834295962;525.8565308655895;480.74088317037916;568.6291251816449;559.5474995226103;470.8918362071546;535.621856518692;568.6291251816449;568.6291251816449;481.84785973673024;469.8100295384435;482.95738527938295;476.3383497514306;558.2620191428276;501.06128578760917;553.149561929708;511.54134884184504;422.64324067598795;414.93771329682374;516.2692442225662;508.02386281723574;482.95738527938295;558.2620191428276;516.2692442225662;457.02057900456253;556.9794919704281;523.4431458647107;505.6923197087124;592.6644697260348;551.8787798968106;493.0587920210368;446.6290661734999;460.184925440363;515.083189446699;451.7949473188917;489.6683966714307;544.3151617337986;497.6158632929841;487.42109480377866;564.71908935455;524.6484506693864;566.0194380878718;588.5891608692561;536.8552045952721;539.3304271837227;232.41589566874947;482.95738527938295;555.69991122084;562.1273471207604;509.19366245561287;515.083189446699;368.16397402805757;497.6158632929841;435.47109431252;454.9231122132933;562.1273471207604;478.5345535564006;523.4431458647107;511.54134884184504;482.95738527938295;545.5685274238044;426.54949972974595;600.8999334112883;448.6882924672728;481.84785973673024;567.3227810653409;506.8567506262777;499.9101691219138;435.47109431252;487.42109480377866;536.8552045952721;588.5891608692561;504.5305639046976;450.75701302205556;479.63644972442125;491.92605994062694;594.0291668064432;583.1989734700303;467.6538663798645;498.7616969821788;558.2620191428276;510.3661557296519;523.4431458647107;614.8807954759225;539.3304271837227;455.9706395660546;562.1273471207604;592.6644697260348;587.2369614247126;515.083189446699;327.41498072219457;488.5434535396004;571.2508444889238;487.42109480377866;;
500;1;596.7679954501672;636.4643586066461;645.3084506351194;730.6455223013666;521.040836940329;640.8711486226616;605.0604803317452;661.8430349689119;598.1421415018928;596.7679954501672;592.6644697260348;535.621856518692;589.9444739518333;579.1887517286368;567.3227810653409;627.7414767742135;546.8247791725929;654.2754371552484;605.0604803317452;609.249834295962;600.8999334112883;560.8359399099704;614.8807954759225;639.3988387861847;617.7157625604158;620.5638005334932;568.6291251816449;476.3383497514306;560.8359399099704;576.5306019024879;554.423270125078;645.3084506351194;614.8807954759225;643.8259467316847;563.4217279865276;531.9387869114252;573.8846514853866;633.5433460366834;654.2754371552484;681.9309596435385;589.9444739518333;648.2837073521225;663.3670258670472;534.3913418829819;576.5306019024879;629.1869438206877;636.4643586066461;692.9989059860252;685.0750679629242;691.406840079885;559.5474995226103;609.249834295962;596.7679954501672;541.8170620241362;612.058839292004;646.7943682217629;657.2920370265974;583.1989734700303;701.0143941244964;633.5433460366834;620.5638005334932;548.0839236257382;573.8846514853866;477.4351888372844;540.5723147895266;572.5662335487999;697.7971332845568;579.1887517286368;624.8604973139362;685.0750679629242;529.4974877844472;707.4934846678201;592.6644697260348;620.5638005334932;550.6109173039458;599.5194517269417;651.2726817765621;779.2472740927832;663.3670258670472;541.8170620241362;671.0397804433693;572.5662335487999;658.8055485828419;531.9387869114252;621.9927399250965;667.9600861806597;633.5433460366834;664.8945259782968;607.850169908146;635.0021727401775;594.0291668064432;554.423270125078;594.0291668064432;551.8787798968106;576.5306019024879;610.6527216168223;808.4577501129842;710.7554514690023;699.4039137803591
