Column2;civic;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;94.34218330463797;105.5968372484542;100.3865687105195;118.46628680064781;82.94090950069848;84.28706562247159;89.89375028360132;135.68396849198137;117.38139511592345;124.90187393789093;102.25077972077757;97.65378530006194;101.5476778317758;80.68304229352877;95.43338077220086;110.06030254361242;100.61772354471226;111.58966303523249;103.43345101350522;113.92364240658203;101.78150629043697;132.59885205668874;128.39717898913622;98.78328601209519;100.1559449215093;85.26196178592542;91.98526677962242;139.16056641591413;112.36229422235937;112.36229422235937;90.30821407077885;116.0392412484498;87.24571259169099;107.55780462860899;110.06030254361242;90.30821407077885;104.14960973171877;96.53719944346616;95.87338555888753;90.30821407077885;120.38903057281587;100.1559449215093;93.69346289903146;94.34218330463797;97.87864749865372;109.30350042597735;91.98526677962242;105.5968372484542;91.14288323117634;100.84941064689724;128.39717898913622;122.06191555248;114.71243373975977;111.84661464128764;107.06417494602071;118.19412744424307;114.1859683433024;107.80547228788281;110.56774616084073;104.14960973171877;89.89375028360132;89.27561841403075;104.87072703252481;91.98526677962242;98.78328601209519;98.32992642291843;88.25482958793816;111.84661464128764;111.33330173875498;121.22258734750707;117.11172814305381;114.44889832406156;147.73622505843724;103.67162174218069;96.98229349236969;105.83998949201612;138.84086491082343;119.01248701729637;100.61772354471226;118.46628680064781;118.46628680064781;108.3025197932092;121.78149575309698;93.47821556368753;98.78328601209519;83.51518073358744;96.31541902998988;105.35424361240754;132.29422515218823;95.87338555888753;85.65507026646488;104.87072703252481;103.9103408939769;120.66624401638853;108.3025197932092;115.77265768219846;102.48622717491455;104.14960973171877;77.76787440525929;119.28653076694064
100;1;133.21021182558732;161.97280010108508;137.25334072422285;125.47774604840528;146.04699018750796;160.12078241236603;121.5017201781105;149.78911734170106;147.73622505843724;155.04701918906255;138.52189787423194;124.04301747004386;138.20366361880318;134.750971650153;117.38139511592345;148.4173771424014;120.11245398749564;124.90187393789093;120.94409578467344;135.68396849198137;135.99640077891235;142.3983512378432;121.22258734750707;126.05627327270784;125.76667700754922;107.3107059503725;125.18947886683053;115.77265768219846;120.66624401638853;122.342981059681;113.40079711762655;103.43345101350522;120.94409578467344;115.50668655357624;113.40079711762655;129.88226945076727;141.4191846239604;132.59885205668874;130.4811041541137;116.0392412484498;104.87072703252481;109.80745473420666;103.19582744802683;135.37225397356013;128.98916653998216;130.78155608093476;119.01248701729637;115.77265768219846;135.68396849198137;126.05627327270784;122.06191555248;121.22258734750707;126.63746785245633;110.06030254361242;126.34653637584607;124.90187393789093;130.18134247263782;131.3845370318381;107.06417494602071;136.62342527317932;124.61492974015573;108.05371023835644;117.651683036647;138.84086491082343;121.5017201781105;128.6928323718675;99.46724763957785;126.63746785245633;136.62342527317932;127.80790832738843;124.32864475568945;126.34653637584607;96.53719944346616;116.84268069149917;124.32864475568945;120.38903057281587;128.39717898913622;123.19006671368945;124.32864475568945;134.1325406623339;111.84661464128764;143.05489254083338;142.72624437825547;149.1016697436037;121.78149575309698;141.74482308927838;131.3845370318381;133.21021182558732;140.1240946738786;137.8861604610773;128.10220482778118;135.68396849198137;164.2235189839767;150.47973448311032;156.84035180832117;146.72035389152555;126.92906924156685;149.78911734170106;115.24132645559527;120.66624401638853
150;1;265.5832685032748;302.091037470114;263.15110752834715;320.70715612377506;311.97667347925545;303.4838572720161;288.50961718568635;261.94339230832657;232.95106744040345;241.6833553746412;263.15110752834715;258.3534014046816;237.82340929672839;272.3882451720131;247.30649072036954;247.87595027647916;230.81774594583314;263.7570516442754;238.3710326635721;263.7570516442754;260.74121982026094;266.1948130274459;241.6833553746412;256.57689891684043;238.3710326635721;281.3018861310095;240.57416503357393;241.12812241994263;231.34923774277578;273.01545915549303;198.3093966679627;274.274223205303;246.17149335836635;211.50072376239802;258.94829809685814;283.90180477109226;242.7976597445259;266.1948130274459;266.1948130274459;273.01545915549303;273.6441173913884;253.64316587639095;256.57689891684043;250.7429775143165;283.90180477109226;296.5833881427452;262.5465554823915;257.1677049508413;226.0889306955594;258.3534014046816;236.18807616008147;281.3018861310095;277.4465828783136;301.3970265024886;228.70396100307693;241.6833553746412;280.6556352662915;297.2663150003028;270.5152355945282;271.76247212298546;228.70396100307693;264.97312891521335;246.73833941617247;291.8466288236721;229.7584226260572;251.32035008653247;255.9874501752332;216.42161371608097;280.6556352662915;281.9496250833612;314.13675624167104;263.7570516442754;287.84680758938356;248.44672109694383;238.9199170137345;196.9457717471083;295.2222376036896;216.42161371608097;234.56398798235475;303.4838572720161;262.5465554823915;250.7429775143165;252.47908674801366;298.63688995492015;265.5832685032748;310.54487643917764;219.93420215936857;260.1422041467649;250.7429775143165;282.598855549887;281.3018861310095;261.34161481541787;293.19221579357423;241.6833553746412;263.7570516442754;217.92008663711292;347.59166713154747;247.30649072036954;241.12812241994263;349.99834311843045
200;1;285.8675010773755;307.7009656247064;285.8675010773755;266.1948130274459;229.7584226260572;305.58513696531435;302.78664650003196;280.01086907053855;300.0137840772717;322.18580733237013;289.1739529985368;283.90180477109226;274.274223205303;280.01086907053855;261.34161481541787;292.51864859645656;260.1422041467649;291.8466288236721;270.5152355945282;304.88309880366177;261.34161481541787;335.032794319519;293.86733397819717;271.1381366980691;292.51864859645656;267.4221298318544;276.80918902161307;251.32035008653247;349.99834311843045;279.367584132936;238.9199170137345;273.6441173913884;302.091037470114;350.80426576336697;268.6551052985083;239.4700652508151;278.08544442808454;314.13675624167104;276.80918902161307;287.18552070336415;269.2737231785496;285.8675010773755;231.88195337772558;276.80918902161307;261.94339230832657;286.52575302941904;266.8077657227987;330.44109733708814;246.73833941617247;244.4787567115525;273.6441173913884;338.1293181963075;308.4094923390225;271.1381366980691;260.74121982026094;291.8466288236721;289.839818542273;309.1196505402723;273.01545915549303;283.90180477109226;294.5440067217022;268.0379086046006;266.8077657227987;269.8937655172144;285.21076136507946;263.7570516442754;261.94339230832657;303.4838572720161;255.9874501752332;283.2495809650177;287.18552070336415;295.9020302120025;291.17615292023476;281.3018861310095;264.97312891521335;293.19221579357423;291.17615292023476;271.1381366980691;229.7584226260572;263.15110752834715;258.94829809685814;295.2222376036896;268.6551052985083;248.44672109694383;285.8675010773755;280.01086907053855;254.81261210362217;249.01880620114244;264.36439103562185;273.01545915549303;285.21076136507946;273.01545915549303;261.94339230832657;269.8937655172144;224.53428676337103;289.1739529985368;309.8314439851943;280.6556352662915;286.52575302941904;
250;1;279.367584132936;319.97037728515147;293.19221579357423;294.5440067217022;349.1942719655453;299.3245453023246;319.23529109056983;354.8618009295309;248.44672109694383;285.8675010773755;264.97312891521335;273.01545915549303;285.8675010773755;309.8314439851943;273.6441173913884;333.4951826837323;275.5387909079098;320.70715612377506;333.4951826837323;353.23318533291837;314.13675624167104;312.6950456395597;275.5387909079098;309.8314439851943;349.1942719655453;291.8466288236721;302.78664650003196;299.3245453023246;298.63688995492015;327.41498072219457;358.96626708608295;297.95081439736;347.59166713154747;347.59166713154747;406.43679072472565;306.28879167305405;318.50189365142256;355.6789224011468;338.1293181963075;315.58511398926566;222.99033295098835;287.18552070336415;348.39204805117305;310.54487643917764;300.7046099258363;331.20198654813083;328.1689018548046;291.8466288236721;304.88309880366177;280.01086907053855;328.9245590016707;288.50961718568635;246.73833941617247;272.3882451720131;262.5465554823915;257.1677049508413;253.06045696699857;267.4221298318544;338.90791066626997;224.01845134194735;292.51864859645656;325.16359357324677;264.97312891521335;221.96693304379488;280.01086907053855;384.60945641884547;338.90791066626997;295.9020302120025;319.23529109056983;308.4094923390225;307.7009656247064;289.839818542273;262.5465554823915;355.6789224011468;214.43966580958246;316.3117951143896;343.61725960400435;279.367584132936;327.41498072219457;352.4216825925416;300.7046099258363;258.3534014046816;305.58513696531435;292.51864859645656;302.78664650003196;291.8466288236721;293.19221579357423;258.3534014046816;288.50961718568635;319.97037728515147;344.4084888659446;292.51864859645656;291.8466288236721;310.54487643917764;271.1381366980691;276.80918902161307;284.5555304183761;260.1422041467649;325.9123305559271;282.598855549887
300;1;330.44109733708814;289.839818542273;311.2599516762814;300.7046099258363;298.63688995492015;360.62131560787793;403.64202988183786;240.0214802850993;330.44109733708814;281.3018861310095;273.6441173913884;314.86010231013057;331.20198654813083;323.67127600466995;270.5152355945282;315.58511398926566;311.2599516762814;312.6950456395597;109.30350042597735;338.1293181963075;292.51864859645656;326.6627916155961;306.28879167305405;320.70715612377506;247.87595027647916;303.4838572720161;347.59166713154747;279.367584132936;287.84680758938356;304.88309880366177;251.32035008653247;303.4838572720161;261.34161481541787;302.091037470114;311.97667347925545;273.6441173913884;360.62131560787793;322.9276875244099;254.81261210362217;351.6120441636875;349.1942719655453;309.8314439851943;317.04014952964735;317.7701810880355;326.6627916155961;280.6556352662915;303.4838572720161;267.4221298318544;268.6551052985083;311.2599516762814;297.95081439736;335.80425658797634;328.9245590016707;358.1415934100561;325.9123305559271;299.3245453023246;331.20198654813083;327.41498072219457;289.1739529985368;316.3117951143896;306.28879167305405;258.3534014046816;246.73833941617247;303.4838572720161;302.091037470114;317.04014952964735;293.19221579357423;301.3970265024886;298.63688995492015;331.20198654813083;314.86010231013057;271.1381366980691;307.7009656247064;344.4084888659446;320.70715612377506;288.50961718568635;295.9020302120025;305.58513696531435;281.9496250833612;347.59166713154747;320.70715612377506;327.41498072219457;317.04014952964735;372.422298162979;241.6833553746412;261.34161481541787;274.9057799304979;311.97667347925545;269.8937655172144;290.5072173393252;282.598855549887;278.725777050505;243.9171017219502;331.20198654813083;332.729025182434;308.4094923390225;362.2839948901666;289.1739529985368;259.54456462613547;
350;1;548.0839236257382;455.9706395660546;441.52225237307687;475.2440304965578;393.55798754684844;518.6495532594981;508.02386281723574;475.2440304965578;440.50791812415736;403.64202988183786;406.43679072472565;460.184925440363;495.33208703428875;486.301314526685;449.7214632308695;453.8779914048565;471.97613389477726;474.1522252837146;490.7959301502213;439.495914163152;551.8787798968106;349.99834311843045;501.06128578760917;468.7307081658843;436.473830534054;476.3383497514306;396.28292789392685;469.8100295384435;461.2445688917187;433.4725275064743;413.9844532255518;463.3711813673893;448.6882924672728;432.4766863495398;458.07293608299915;389.05799523938344;546.8247791725929;435.47109431252;481.84785973673024;446.6290661734999;401.78954053643093;398.11002847178173;392.65384433875624;523.4431458647107;471.97613389477726;480.74088317037916;414.93771329682374;531.9387869114252;399.94555307269343;389.05799523938344;422.64324067598795;476.3383497514306;528.2810430102825;424.5918780128764;443.5579332103361;380.2117827594916;471.97613389477726;479.63644972442125;452.8352716120527;480.74088317037916;386.382735332994;437.47887570316936;390.8517845698973;493.0587920210368;457.02057900456253;417.8106838685425;478.5345535564006;491.92605994062694;429.50286868328885;501.06128578760917;397.1954276004851;447.6574952657893;441.52225237307687;464.4381616414893;361.4516992088564;564.71908935455;479.63644972442125;521.040836940329;443.5579332103361;493.0587920210368;401.78954053643093;375.0008979590133;438.4862351365575;319.97037728515147;490.7959301502213;531.9387869114252;397.1954276004851;444.57929056743217;406.43679072472565;479.63644972442125;401.78954053643093;413.0333831330028;410.1932624738291;428.5161472499453;459.12771636833594;403.64202988183786;541.8170620241362;477.4351888372844;440.50791812415736;436.473830534054
400;1;450.75701302205556;493.0587920210368;377.59735161863443;381.9647857759958;424.5918780128764;374.13938701108043;451.7949473188917;362.2839948901666;386.382735332994;364.79239849526294;405.50306030765785;389.95385847623;402.7147200282304;341.25446154044994;358.96626708608295;421.67227825724734;465.5075987945472;358.1415934100561;392.65384433875624;379.3383005487472;432.4766863495398;405.50306030765785;390.8517845698973;349.1942719655453;375.0008979590133;341.25446154044994;416.85082355814023;433.4725275064743;427.53169266802;363.11820705465465;349.1942719655453;455.9706395660546;427.53169266802;399.0267353460573;412.0844979880139;399.0267353460573;401.78954053643093;362.2839948901666;334.2631043753249;397.1954276004851;318.50189365142256;342.82784807816876;460.184925440363;347.59166713154747;455.9706395660546;366.4743089566345;361.4516992088564;415.89316838956665;364.79239849526294;374.13938701108043;402.7147200282304;391.75177827041654;413.9844532255518;413.0333831330028;384.60945641884547;437.47887570316936;382.8443158551454;380.2117827594916;396.28292789392685;342.82784807816876;391.75177827041654;413.0333831330028;404.57147500272475;357.3188143038935;420.703546485842;359.79283969449995;342.82784807816876;358.96626708608295;341.25446154044994;348.39204805117305;361.4516992088564;392.65384433875624;415.89316838956665;387.27243839056536;382.8443158551454;462.3066523279195;407.3726711933644;354.0465566776694;292.51864859645656;404.57147500272475;386.382735332994;368.16397402805757;423.6164388784574;372.422298162979;383.7258711816188;389.95385847623;403.64202988183786;430.4918621878093;368.16397402805757;381.9647857759958;407.3726711933644;322.9276875244099;391.75177827041654;441.52225237307687;357.3188143038935;406.43679072472565;455.9706395660546;362.2839948901666;493.0587920210368;432.4766863495398
450;1;405.50306030765785;421.67227825724734;434.47066173409036;416.85082355814023;461.2445688917187;418.7727543984368;415.89316838956665;452.8352716120527;470.8918362071546;415.89316838956665;377.59735161863443;417.8106838685425;421.67227825724734;475.2440304965578;508.02386281723574;449.7214632308695;413.9844532255518;467.6538663798645;425.5695632393202;436.473830534054;407.3726711933644;484.06946566773;414.93771329682374;464.4381616414893;521.040836940329;442.5389222757411;462.3066523279195;465.5075987945472;497.6158632929841;445.6029997500121;426.54949972974595;424.5918780128764;426.54949972974595;444.57929056743217;383.7258711816188;462.3066523279195;488.5434535396004;524.6484506693864;470.8918362071546;517.4580300639393;480.74088317037916;471.97613389477726;393.55798754684844;390.8517845698973;515.083189446699;444.57929056743217;429.50286868328885;449.7214632308695;376.72987568964214;441.52225237307687;433.4725275064743;375.0008979590133;479.63644972442125;411.13779277098024;477.4351888372844;498.7616969821788;497.6158632929841;434.47066173409036;407.3726711933644;527.0673928440674;436.473830534054;469.8100295384435;449.7214632308695;370.71308978460263;462.3066523279195;504.5305639046976;415.89316838956665;463.3711813673893;461.2445688917187;399.0267353460573;495.33208703428875;459.12771636833594;442.5389222757411;403.64202988183786;473.0629283372489;448.6882924672728;458.07293608299915;389.05799523938344;462.3066523279195;477.4351888372844;497.6158632929841;375.8643926625708;494.1941323836063;448.6882924672728;482.95738527938295;466.5794984838883;433.4725275064743;441.52225237307687;375.8643926625708;427.53169266802;417.8106838685425;439.495914163152;434.47066173409036;420.703546485842;459.12771636833594;410.1932624738291;406.43679072472565;489.6683966714307;410.1932624738291;
500;1;401.78954053643093;556.9794919704281;418.7727543984368;354.0465566776694;576.5306019024879;419.73704023717846;427.53169266802;493.0587920210368;431.4831329952847;419.73704023717846;439.495914163152;358.96626708608295;395.3725245249812;488.5434535396004;405.50306030765785;385.4950762409936;470.8918362071546;413.0333831330028;426.54949972974595;503.3714770685424;430.4918621878093;452.8352716120527;425.5695632393202;447.6574952657893;518.6495532594981;428.5161472499453;466.5794984838883;317.04014952964735;436.473830534054;541.8170620241362;388.1641901202389;473.0629283372489;429.50286868328885;437.47887570316936;443.5579332103361;404.57147500272475;450.75701302205556;518.6495532594981;370.71308978460263;416.85082355814023;518.6495532594981;453.8779914048565;430.4918621878093;498.7616969821788;446.6290661734999;475.2440304965578;473.0629283372489;489.6683966714307;414.93771329682374;364.79239849526294;546.8247791725929;421.67227825724734;405.50306030765785;402.7147200282304;380.2117827594916;457.02057900456253;470.8918362071546;327.41498072219457;450.75701302205556;464.4381616414893;394.46421267761235;462.3066523279195;469.8100295384435;476.3383497514306;426.54949972974595;449.7214632308695;404.57147500272475;510.3661557296519;410.1932624738291;549.3459674441176;548.0839236257382;432.4766863495398;396.28292789392685;478.5345535564006;493.0587920210368;527.0673928440674;457.02057900456253;391.75177827041654;408.3107066643835;368.16397402805757;358.96626708608295;363.11820705465465;530.716733601557;544.3151617337986;446.6290661734999;484.06946566773;439.495914163152;416.85082355814023;433.4725275064743;415.89316838956665;413.9844532255518;396.28292789392685;595.3970063025292;432.4766863495398;508.02386281723574;369.0117257090382;439.495914163152;402.7147200282304;424.5918780128764;502.2150530686748
